// PacMan
// Criação:     01 Jan 2013
// Atualização: 25 Ago 2021
// Descrição:   Nível 1 (Pivôs)
//
// Informações dos pivôs:
// left right up down posX posY
    
// linha 1 
0 1 0 1 30 560
1 1 0 1 130 560
1 1 0 1 230 560
1 1 0 1 330 560
1 1 0 1 430 560
1 1 0 1 530 560
1 1 0 1 630 560
1 1 0 1 730 560
1 1 0 1 830 560
1 0 0 1 930 560

// linha 2
0 1 1 1 30 620
1 1 1 1 130 620
1 1 1 1 230 620
1 1 1 1 330 620
1 1 1 1 430 620
1 1 1 1 530 620
1 1 1 1 630 620
1 1 1 1 730 620
1 1 1 1 830 620
1 0 1 1 930 620

// linha 3
0 1 1 0 30 680
1 1 1 0 130 680
1 1 1 0 230 680
1 1 1 0 330 680
1 1 1 0 430 680
1 1 1 0 530 680
1 1 1 0 630 680
1 1 1 0 730 680
1 1 1 0 830 680
1 0 1 0 930 680
